name|Current price|EBIT|Enterprise Value|Return on capital employed|Return on invested capital|Debt to equity|Market Capitalization|Net block preceding year|Working capital|Price to book value|Price to Earning|Earnings yield
Wheels India|1,204.00|113.91|1,830.98|14.56|15.87|1.02|1,448.69|465.34|196.62|3.44|36.23|6.22
Deepak Fert.|163.05|300.52|2,783.80|8.08|10.28|0.91|1,438.10|1,388.11|1,074.72|0.87|11.87|10.80
Snowman Logistic|85.60|22.96|1,436.95|5.76|4.30|0.22|1,430.27|250.00|134.39|3.26|69.43|1.60
M T N L|22.65|-1,162.79|17,960.71|-19.61|-21.40|8.03|1,426.95|11,220.95|-1,344.30|23.14|NaN|-6.47
Anant Raj|48.35|121.32|2,725.82|5.30|2.16|0.33|1,426.81|2,680.50|1,666.72|0.34|21.97|4.45

Jai Corp|79.60|100.07|1,420.52|8.57|8.95|0.00|1,420.46|209.43|654.61|0.68|20.44|7.04
Swaraj Engines|1,142.95|76.09|1,418.82|32.92|29.65|0.00|1,419.54|83.85|99.92|6.63|27.73|5.36
Hikal|172.50|115.49|1,958.88|12.65|12.10|1.28|1,417.95|644.14|300.25|3.03|34.33|5.90
Geometric|217.00|193.83|NaN|28.23|35.91|0.14|1,415.77|170.60|228.31|2.76|13.44|NaN
NIIT|84.10|28.56|1,501.90|7.85|6.46|0.24|1,392.11|110.48|182.62|1.73|21.21|1.90
Jamna Auto Inds.|175.10|107.13|1,451.24|14.24|31.38|0.32|1,391.66|250.54|-27.39|5.13|19.24|7.38
Excel Crop Care|1,259.30|85.00|1,397.20|19.35|19.62|0.05|1,385.23|153.37|208.16|3.65|25.83|6.08
Elantas Beck|1,742.50|68.86|1,377.47|53.05|59.19|0.00|1,381.80|44.85|62.71|7.46|29.65|5.00
MPS|741.95|103.99|1,377.05|157.38|164.22|0.00|1,381.28|21.53|30.31|5.03|19.58|7.55
Swan Energy|62.15|14.09|1,514.10|2.09|2.00|0.35|1,374.76|96.25|614.77|3.12|2,327.72|0.93
Lanco Infratech|5.00|2,324.40|39,948.63|2.28|5.47|-87.53|1,374.66|21,754.41|1,648.83|NaN|NaN|5.82

Guj Inds. Power|90.70|311.48|1,612.70|13.31|13.50|0.33|1,371.84|1,990.57|157.88|0.68|7.28|19.31
Hawkins Cookers|2,590.45|63.66|1,353.48|76.25|69.60|0.52|1,370.35|22.23|64.84|22.44|31.78|4.70
Tata Tele. Mah.|7.00|257.09|8,729.15|-0.32|6.61|-2.50|1,368.45|4,517.89|-1,103.10|NaN|NaN|2.95
Z F Steering|1,505.40|60.04|1,385.07|28.08|44.64|0.09|1,365.40|95.99|23.81|4.66|30.30|4.33
OnMobile Global|124.45|21.19|1,229.53|-4.02|-1.48|0.07|1,364.52|503.04|247.50|2.12|NaN|1.72
Aban Offshore|227.90|1,249.49|15,274.42|9.39|6.34|2.60|1,330.15|17,865.83|1,030.53|0.24|25.94|8.18
D B Realty|54.05|17.84|2,501.10|0.10|0.06|0.35|1,314.82|455.46|1,608.64|0.39|NaN|0.71
K C P|101.50|131.97|NaN|12.73|12.22|0.85|1,308.34|569.76|325.32|2.46|25.27|NaN
Orient Paper|62.45|72.52|1,664.60|6.73|6.53|1.09|1,279.41|514.64|341.27|3.13|60.87|4.36
Orissa Minerals|2,120.90|18.90|518.38|-5.83|-6.07|0.00|1,272.54|83.81|772.53|1.52|119.71|3.65
Dalmia Bharat|155.80|134.95|2,157.16|5.48|9.45|2.05|1,261.20|767.30|454.35|2.46|21.58|6.26

Ramkrishna Forg.|438.75|127.10|1,977.67|16.85|16.32|1.78|1,257.89|233.70|233.99|2.73|22.92|6.43
KSK Energy Ven.|29.65|1,143.05|18,930.83|1.39|6.73|5.82|1,257.12|7,902.14|1,737.61|0.48|NaN|6.04
Asian Star Co.|779.00|112.70|1,928.01|8.19|7.50|1.44|1,247.18|174.37|1,333.09|1.78|17.04|5.85
Claris Lifescien|228.30|105.27|1,662.50|4.62|4.31|0.48|1,245.78|1,074.29|400.10|0.99|NaN|6.33
Agro Tech Foods.|510.10|40.92|1,337.24|15.44|13.11|0.28|1,243.11|150.42|134.59|3.69|53.22|3.06
Precision Camshf|130.90|107.85|1,349.02|NaN|32.57|0.66|1,240.21|NaN|98.27|4.77|19.51|7.99
Wim Plast|2,049.20|65.19|1,215.50|32.39|36.34|0.00|1,229.86|72.20|89.06|5.52|27.24|5.36
Cigniti Tech.|479.25|90.07|1,233.62|18.53|35.81|0.16|1,224.43|68.57|171.10|3.84|24.65|7.30
Dredging Corpn.|435.10|103.34|2,024.84|3.30|3.50|0.63|1,218.28|2,187.75|467.97|0.78|17.70|5.10
Goodyear India|527.80|168.24|986.89|28.35|28.53|0.00|1,217.63|210.24|245.88|2.02|11.33|17.05
Heritage Foods|522.30|101.44|1,329.20|15.83|28.64|0.82|1,211.74|271.48|49.77|4.88|21.52|7.63

Borosil Glass|4,020.50|60.72|1,237.63|1.18|1.10|0.06|1,210.17|156.43|77.73|2.13|23.16|4.91
Honda Siel Power|1,192.00|75.54|1,185.93|21.18|19.68|0.00|1,208.69|122.98|213.85|3.30|24.75|6.37
Fiem Inds.|1,010.25|94.92|1,322.06|22.27|28.18|0.55|1,208.26|312.98|-0.72|4.46|21.13|7.18
Radico Khaitan|90.75|192.40|2,047.48|10.74|10.73|0.95|1,207.43|572.74|861.00|1.35|15.71|9.40
Fortune Fin.Ser.|236.35|22.19|1,645.18|12.24|3.55|2.09|1,205.92|32.86|382.81|5.35|220.87|1.35
Meghmani Organ.|47.25|214.00|1,772.58|17.18|17.06|0.90|1,201.57|781.39|496.29|1.87|14.55|12.07
Internat. Paper|302.10|96.67|1,668.35|7.00|6.93|1.06|1,201.45|833.11|3.98|2.66|77.51|5.79
Aarti Drugs|496.10|136.20|1,661.76|18.70|17.53|1.33|1,201.41|431.48|314.17|3.43|18.13|8.20
