name|Current price|EBIT|Enterprise Value|Return on capital employed|Return on invested capital|Debt to equity|Market Capitalization|Net block preceding year|Working capital|Price to book value|Price to Earning|Earnings yield

TCS|2,445.35|32,582.97|4,75,391.37|80.64|91.83|0.00|4,81,838.60|11,638.17|19,276.80|6.72|19.40|6.85
Reliance Inds.|1,012.20|40,289.00|4,14,276.41|20.23|33.00|0.45|3,28,227.41|1,09,406.00|-16,948.00|1.34|11.50|9.73
HDFC Bank|1,223.70|51,267.87|8,70,738.14|95.87|92.84|8.25|3,10,214.32|3,121.73|40,297.55|4.27|25.23|5.89
ITC|248.85|15,007.52|3,00,576.59|77.06|85.42|0.00|3,00,610.09|14,178.49|1,253.58|9.14|30.54|4.99
Infosys|1,072.55|19,339.00|2,13,661.80|34.88|33.65|0.00|2,46,358.80|11,346.00|35,022.00|4.02|17.73|9.05
H D F C|1,364.10|31,956.09|4,61,462.25|242.43|230.44|4.91|2,15,807.72|1,470.23|12,284.06|4.25|21.18|6.92
Hind. Unilever|941.50|5,870.77|2,03,129.18|654.96|480.00|0.00|2,03,763.73|2,457.53|-1,818.84|55.27|49.60|2.89
Coal India|318.85|21,609.73|1,92,116.21|21.20|22.06|0.01|2,01,397.14|14,784.39|55,596.22|3.69|14.14|11.25
O N G C|230.25|30,232.75|2,37,937.98|34.55|30.21|0.30|1,96,990.16|64,655.28|-8,695.66|1.09|10.63|12.71
Sun Pharma.Inds.|770.40|7,242.17|1,87,126.88|23.98|20.73|0.35|1,85,416.33|6,817.28|20,030.84|6.12|35.45|3.87
St Bk of India|231.50|1,61,224.14|24,87,620.77|99.70|89.82|14.02|1,79,708.29|12,924.20|1,07,280.85|1.00|14.70|6.48
Tata Motors|494.00|1,631.50|1,74,144.96|-4.02|-4.12|0.71|1,58,469.45|15,783.23|-3,581.84|7.09|601.12|0.94

ICICI Bank|265.75|43,711.11|6,90,949.05|35.70|31.44|6.86|1,54,584.70|4,725.52|82,716.01|1.78|13.27|6.33
Bharti Airtel|378.90|18,094.00|2,17,970.19|11.58|12.33|1.07|1,51,461.49|1,40,614.50|-20,383.90|2.25|31.17|8.30
Larsen & Toubro|1,585.85|11,135.87|2,32,655.20|19.06|13.82|2.22|1,47,802.49|32,397.46|34,922.56|3.21|30.53|4.79
Kotak Mah. Bank|772.15|16,146.71|3,09,828.34|85.84|63.42|5.39|1,41,749.20|1,384.97|11,758.75|4.25|40.98|5.21
Wipro|554.50|12,030.10|1,39,619.24|23.97|23.75|0.28|1,37,001.84|10,837.10|24,853.20|3.07|15.41|8.62
Maruti Suzuki|4,472.05|6,616.56|1,35,588.99|48.95|72.17|0.02|1,35,091.69|10,790.40|-3,731.70|4.78|29.55|4.88
Axis Bank|565.05|36,548.82|5,58,776.44|55.74|55.05|8.60|1,34,907.94|2,413.05|46,055.75|2.54|16.40|6.54
NTPC|156.25|13,289.03|2,01,725.24|11.99|13.36|1.05|1,28,835.31|72,110.83|11,449.79|1.40|12.58|6.59
I O C L|478.35|18,839.60|1,71,274.10|6.35|20.60|0.81|1,16,140.99|62,948.79|7,652.30|1.48|11.90|11.00
HCL Technologies|717.50|9,278.24|1,00,531.01|39.90|37.26|0.03|1,01,221.77|7,443.94|13,608.75|3.39|13.52|9.23
Asian Paints|1,025.90|2,668.92|97,116.93|67.16|62.93|0.06|98,404.33|2,660.04|518.83|17.56|55.86|2.75

UltraTech Cem.|3,531.35|3,562.25|1,02,492.15|17.57|16.29|0.37|96,913.81|20,947.46|-2,103.18|4.67|44.57|3.48
M & M|1,464.80|7,611.78|1,32,155.32|17.38|16.20|1.54|90,977.61|19,046.74|21,085.73|3.18|28.65|5.76
Power Grid Corpn|164.25|12,641.70|1,78,910.44|13.04|15.44|2.49|85,928.87|73,154.07|-10,904.05|1.94|14.26|7.07
Hind.Zinc|196.15|8,627.31|NaN|295.56|-99.99|0.00|82,879.26|9,446.17|-15,839.89|2.22|10.15|NaN
B P C L|554.75|11,214.12|91,969.81|32.97|73.46|0.58|80,226.20|19,039.51|-7,788.80|2.68|10.79|12.19
Bajaj Auto|2,695.60|5,385.66|77,347.51|270.28|195.79|0.01|78,002.58|1,917.24|258.66|6.35|21.36|6.96
Lupin|1,670.15|3,477.65|81,680.29|29.77|21.84|0.65|75,304.28|4,368.19|6,069.53|6.86|33.16|4.26
Bosch|23,907.60|1,863.74|75,051.66|33.38|32.37|0.02|75,069.86|938.10|3,585.60|8.74|60.25|2.48
IndusInd Bank|1,126.80|10,929.71|1,72,187.26|53.86|56.30|6.66|67,142.92|1,119.56|11,963.21|3.74|27.71|6.35
Bharti Infra.|353.30|1,984.80|67,003.05|27.04|27.79|0.00|67,009.25|6,685.50|-1,627.50|3.47|50.63|2.96
Hero Motocorp|3,244.10|4,396.73|64,683.49|220.28|191.23|0.00|64,781.46|2,243.25|-818.08|6.70|20.68|6.80

Nestle India|6,632.95|751.18|62,500.22|24.35|22.99|0.01|63,954.90|3,176.64|-151.25|20.79|64.77|1.20
Dr Reddy's Labs|3,588.00|2,984.79|64,039.82|21.39|24.07|0.29|61,246.42|5,377.00|5,380.30|5.23|30.60|4.66
Dabur India|312.00|1,605.26|55,612.35|59.55|57.57|0.19|54,958.58|1,877.13|457.61|13.21|43.87|2.89
Shree Cement|15,698.45|663.42|55,579.06|10.06|11.38|0.17|54,693.40|2,193.77|1,426.24|9.54|93.73|1.19
Godrej Consumer|1,599.05|1,576.16|56,783.29|21.00|19.40|0.57|54,453.06|5,550.95|1,392.07|10.68|47.74|2.78
Eicher Motors|19,781.05|1,784.63|53,225.67|103.72|77.26|0.02|53,731.23|2,309.33|-695.24|15.51|49.63|3.35
GAIL (India)|393.75|3,812.84|58,360.67|16.03|11.38|0.33|49,946.40|20,639.14|-964.13|1.59|21.73|6.53
Yes Bank|1,179.20|12,732.93|1,84,823.68|98.58|99.63|10.40|49,663.59|293.40|9,646.00|3.60|19.56|6.89
Tech Mahindra|504.05|4,112.94|47,650.04|30.35|28.38|0.08|48,951.34|4,032.90|8,272.90|3.41|15.70|8.63
Vedanta|163.35|0.48|1,24,180.66|-6.43|-6.89|1.98|48,428.28|70,107.83|-8,346.23|1.23|16.17|0.00
Bajaj Fin.|8,700.05|4,891.43|82,566.54|30.15|25.03|5.05|46,869.07|249.18|18,942.27|6.40|36.66|5.92

Siemens|1,310.35|1,048.47|44,568.32|18.75|17.71|0.00|46,664.22|1,355.60|3,036.00|8.61|73.64|2.35
Adani Ports|220.50|4,234.22|NaN|14.36|14.34|1.65|45,664.49|13,162.98|4,217.60|3.35|15.93|NaN
Zee Entertainmen|471.95|1,594.07|44,354.68|32.84|30.79|0.00|45,326.08|1,137.60|3,136.70|10.75|43.19|3.59
Grasim Inds|4,821.60|5,024.34|56,476.94|12.83|15.25|0.52|45,008.44|25,208.57|-1,079.64|1.77|19.08|8.90
Aurobindo Pharma|761.50|2,881.19|48,561.17|29.45|32.21|0.86|44,560.66|2,721.67|5,026.57|6.24|22.48|5.93
Cipla|516.40|1,872.05|42,796.01|22.22|22.28|0.12|41,498.15|3,524.19|3,645.43|3.33|30.91|4.37
Ambuja Cem.|260.85|1,255.07|35,482.27|13.76|12.70|0.00|40,481.24|6,227.11|648.44|3.82|51.01|3.54
Idea Cellular|111.10|5,808.20|53,176.26|20.08|20.50|1.18|40,004.93|26,024.12|-4,675.61|1.63|15.29|10.92
Motherson Sumi|302.30|2,610.48|42,585.33|21.02|31.50|1.55|39,990.63|5,918.90|2,034.40|8.72|30.94|6.13
JSW Steel|1,636.05|-2,379.19|70,282.35|-7.18|-7.06|1.49|39,546.60|38,569.39|-3,932.20|1.88|17.15|-3.39
Bajaj Finserv|2,430.20|6,681.00|71,958.75|NaN|-293.89|2.69|38,672.13|1,260.67|-3,546.74|2.89|20.76|9.28

Bank of Baroda|164.25|24,623.35|5,11,455.04|13.48|13.68|16.84|37,845.82|2,874.85|1,37,234.08|1.05|NaN|4.81
NMDC|95.45|4,570.71|29,917.37|31.99|12.09|0.00|37,843.06|1,362.28|21,802.36|1.07|12.04|15.28
Cadila Health.|365.80|2,172.25|38,962.90|35.48|34.05|0.46|37,448.50|3,352.20|2,281.90|7.00|24.57|5.58
Titan Company|417.75|912.94|37,121.96|27.24|25.85|0.03|37,087.85|683.23|2,513.73|10.55|52.54|2.46
Pidilite Inds.|718.55|1,091.76|36,827.52|48.62|73.09|0.03|36,838.29|729.13|444.78|12.17|48.76|2.96
Tata Steel|372.90|2,454.60|NaN|0.22|-11.83|2.57|36,216.62|74,906.93|18,558.32|1.28|149.97|NaN
H P C L|1,068.30|6,378.21|57,611.84|11.06|18.09|1.27|36,175.84|25,912.24|-93.87|1.82|9.37|11.07
Marico|279.05|1,054.03|36,245.51|52.50|52.12|0.16|36,002.23|1,075.92|799.26|17.17|49.67|2.91
United Spirits|2,446.15|1,620.26|39,749.28|-5.08|15.91|1.50|35,549.90|1,069.41|3,074.99|12.66|146.16|4.08
Interglobe Aviat|970.30|2,963.81|NaN|13.69|60.02|8.49|35,047.61|3,955.97|-706.90|14.53|17.61|NaN
B H E L|142.60|-1,449.89|25,207.91|2.98|-8.86|0.00|34,902.78|4,692.94|28,607.62|1.05|24.55|-5.75

Britannia Inds.|2,820.60|1,132.81|33,823.73|187.04|267.76|0.00|33,840.38|545.66|-139.69|17.02|44.77|3.35
Cairn India|172.95|-9,407.66|30,948.81|-63.42|-66.66|0.00|32,425.75|21,099.59|8,490.12|0.66|14.94|-30.40
Divi's Lab.|1,152.45|1,374.16|30,611.48|43.13|51.27|0.01|30,593.93|1,221.60|1,183.77|6.55|27.62|4.49
ACC|1,613.00|826.91|28,872.54|20.45|22.32|0.00|30,290.09|5,665.99|-2,080.49|3.50|52.40|2.86
Bharat Electron|1,252.65|1,817.46|28,040.79|13.21|16.03|0.00|30,063.60|650.95|7,247.61|3.25|22.03|6.48
Oracle Fin.Serv.|3,524.85|1,861.81|29,337.21|26.21|53.45|0.00|29,928.66|953.51|2,052.31|6.49|25.39|6.35
Indiabulls Hous.|708.05|7,895.65|68,667.64|95.64|104.56|7.02|29,835.22|46.03|6,630.59|3.40|13.01|11.50
Glaxosmit Pharma|3,458.95|577.01|29,183.49|28.78|31.68|0.00|29,297.31|123.06|1,181.93|17.06|78.45|1.98
Shriram Trans.|1,271.50|6,839.36|77,834.69|33.17|34.91|4.90|28,847.79|100.72|19,469.75|2.84|24.48|8.79
Container Corpn.|1,466.10|1,060.97|25,992.50|15.21|12.63|0.00|28,584.55|3,009.38|2,430.41|3.39|36.30|4.08
Hindalco Inds.|137.40|4,518.65|92,470.14|3.91|3.65|1.79|28,373.11|61,163.48|14,015.48|0.74|15.52|4.89

DLF|156.95|3,547.47|50,061.63|5.42|6.60|0.90|27,998.34|18,834.63|25,629.14|1.00|46.43|7.09
NHPC Ltd|25.20|4,264.05|42,312.32|8.63|9.80|0.70|27,898.09|24,077.14|5,826.98|0.91|11.43|10.08
Power Fin.Corpn.|207.05|27,273.42|2,10,085.15|117.79|121.51|5.83|27,331.44|70.63|22,305.04|0.71|4.47|12.98
A B B|1,271.15|591.66|26,964.12|19.12|17.80|0.20|26,935.67|1,399.54|1,872.79|8.75|85.09|2.19
Piramal Enterp.|1,554.95|1,832.95|42,662.81|15.40|14.63|1.31|26,830.66|7,065.23|2,372.51|2.16|29.25|4.30
Punjab Natl.Bank|135.95|26,374.69|NaN|28.53|24.09|17.28|26,695.11|3,551.48|75,722.09|0.75|NaN|NaN
GlaxoSmith C H L|6,315.75|1,056.18|25,502.37|32.70|30.45|0.00|26,564.04|491.74|2,053.24|10.86|40.84|4.14
LIC Housing Fin.|525.45|12,157.99|1,20,292.77|281.94|378.30|12.35|26,516.83|75.61|3,110.41|2.79|15.72|10.11
Ashok Leyland|91.70|1,442.73|27,217.92|18.02|21.61|0.59|26,096.69|5,255.55|219.77|5.81|27.26|5.30
Colgate-Palm.|926.80|828.15|25,014.73|103.80|85.21|0.00|25,207.63|781.58|-83.94|24.73|42.03|3.31
Emami|1,097.75|471.14|25,489.86|32.19|22.25|0.48|24,918.93|452.90|-48.35|17.76|69.40|1.85

UPL|566.60|2,248.23|27,461.85|24.31|22.47|0.62|24,284.72|4,030.80|4,858.61|3.58|17.96|8.19
Glenmark Pharma.|852.25|1,202.11|27,083.80|11.66|17.32|1.27|24,047.61|3,090.55|3,530.83|6.46|33.39|4.44
Torrent Pharma.|1,413.15|2,743.00|24,871.28|57.01|62.25|0.70|23,913.32|2,832.66|1,097.10|7.06|13.17|11.03
Cummins India|817.80|907.28|22,584.27|34.26|33.41|0.00|22,669.42|1,233.96|744.08|7.15|30.15|4.02
Oil India|374.45|3,809.54|22,143.32|24.31|23.38|0.39|22,509.54|1,149.65|8,735.04|0.94|9.02|17.20
Havells India|359.65|926.79|22,440.37|40.85|30.57|0.02|22,472.92|985.19|1,083.20|8.50|41.61|4.13
Petronet LNG|290.65|1,439.13|24,095.03|15.07|16.40|0.47|21,798.75|6,265.04|793.64|3.30|23.85|5.97
Berger Paints|223.35|589.86|22,007.38|36.80|39.01|0.25|21,684.36|930.66|446.60|14.67|58.64|2.68
United Breweries|783.30|524.29|21,540.68|16.42|20.16|0.45|20,710.45|1,606.92|567.83|9.66|70.31|2.43
S A I L|50.00|-5,151.69|50,390.32|6.97|-13.13|0.69|20,652.63|26,770.65|7,502.49|0.52|10.58|-10.22
P & G Hygiene|6,292.85|632.05|19,812.00|50.48|57.41|0.00|20,427.05|239.51|645.40|13.24|48.54|3.19

Castrol India|402.25|993.90|19,197.22|196.61|200.22|0.00|19,893.72|172.07|312.06|26.60|31.04|5.18
Rural Elec.Corp.|200.00|22,328.33|1,70,250.78|185.81|201.68|6.08|19,749.20|72.12|10,938.70|0.65|3.51|13.11
Tata Power Co.|71.65|5,412.11|NaN|10.83|11.23|2.90|19,378.67|43,393.60|27.64|1.29|20.82|NaN
Apollo Hospitals|1,379.45|585.70|20,622.72|18.65|17.05|0.53|19,190.91|1,988.70|604.47|5.44|49.07|2.84
M & M Fin. Serv.|321.70|4,092.47|52,100.89|25.10|23.25|5.26|18,296.69|118.86|17,282.70|2.83|23.69|7.85
Central Bank|103.50|16,152.79|2,78,079.65|62.46|57.48|19.14|18,228.62|2,833.16|20,369.81|1.27|NaN|5.81
Bajaj Holdings|1,613.25|429.90|16,546.88|40.54|22.27|0.00|17,953.86|543.96|1,355.46|1.17|7.93|2.60
IDFC Bank|51.60|3,517.28|70,746.65|132.70|78.93|4.12|17,517.68|0.00|3,301.96|1.29|37.52|4.97
Kansai Nerolac|317.20|1,064.71|16,658.27|33.33|29.85|0.02|17,093.91|905.00|763.75|7.47|43.86|6.39
Bharat Forge|728.45|1,128.13|19,582.06|20.69|19.60|0.83|16,958.32|2,628.69|1,538.90|4.74|25.84|5.76
Alkem Lab|1,415.40|912.16|18,089.55|16.97|25.45|0.44|16,923.23|1,170.01|1,452.95|4.61|25.14|5.04
Sundaram Finance|1,508.75|2,707.09|35,136.45|40.13|43.79|4.47|16,762.21|515.29|5,347.89|4.00|28.00|7.70

Aditya Bir. Nuv.|1,219.65|4,871.26|40,818.08|17.56|20.58|2.02|15,882.63|14,766.12|6,898.68|1.10|10.82|11.93
Tata Motors-DVR|311.55|1,426.86|NaN|NaN|NaN|NaN|15,841.59|NaN|NaN|NaN|22.87|NaN
Gillette India|4,738.00|375.83|15,260.58|36.99|51.24|0.00|15,441.14|172.63|380.69|17.00|64.62|2.46
Sun TV Network|390.50|1,332.61|15,347.53|43.36|49.71|0.00|15,388.82|1,241.84|1,390.52|3.62|17.99|8.68
IDBI Bank|74.55|16,983.05|3,34,061.70|31.00|28.46|15.16|15,348.47|3,011.30|40,675.36|0.69|NaN|5.08
3M India|13,614.20|310.18|14,983.48|32.66|29.54|0.01|15,343.20|387.75|642.42|15.21|76.36|2.07
Exide Inds.|179.95|1,015.71|15,115.93|37.96|40.09|0.03|15,295.75|1,781.23|204.82|3.57|21.66|6.72
Page Industries|13,446.25|359.52|15,078.93|58.03|54.85|0.19|14,992.57|217.26|431.11|29.68|64.44|2.38
CRISIL|2,103.05|438.42|14,857.87|79.26|84.90|0.00|14,989.84|431.91|43.74|16.04|48.76|2.95
Cholaman.Inv.&Fn|958.90|2,927.40|37,248.33|39.29|36.26|6.14|14,977.07|68.87|7,948.95|4.08|26.06|7.86
Amara Raja Batt.|876.10|722.68|14,819.54|38.90|40.98|0.04|14,963.79|623.19|707.63|6.84|30.57|4.88

NBCC|245.40|472.99|14,056.91|26.09|29.46|0.00|14,724.00|22.54|1,141.24|9.02|47.68|3.36
TVS Motor Co.|307.35|612.21|15,498.25|37.86|36.21|0.48|14,602.20|1,329.63|-43.85|7.54|33.47|3.95
Reliance Power|51.80|4,142.06|46,710.94|7.83|10.61|1.61|14,530.56|13,838.88|2,211.35|0.66|10.67|8.87
Reliance Infra.|552.15|4,517.47|39,844.32|3.79|10.56|0.98|14,520.99|10,301.01|6,862.01|0.52|7.22|11.34
MRF|34,221.85|2,672.78|16,157.74|28.39|44.65|0.42|14,510.06|2,969.54|2,247.45|2.34|8.68|16.54
Blue Dart Exp.|6,034.15|320.91|14,365.03|62.49|56.82|0.83|14,319.04|215.38|268.27|35.70|75.41|2.23
Biocon|704.00|1,237.70|15,430.70|13.94|14.14|0.61|14,080.00|1,629.90|2,307.80|3.47|31.52|8.02
Ajanta Pharma|1,596.60|555.52|14,099.48|64.72|55.10|0.07|14,050.88|271.32|425.85|12.49|33.90|3.94
Godrej Inds.|415.55|913.52|20,770.04|6.67|5.91|2.01|13,968.29|1,837.11|5,525.17|4.01|44.19|4.40
Canara Bank|256.90|31,073.00|4,63,880.66|40.14|36.77|19.37|13,949.44|6,949.45|64,045.85|0.53|NaN|6.70
Max Financial|513.40|595.05|13,992.93|NaN|-38.37|0.16|13,708.96|1,592.46|-2,591.10|4.15|49.22|4.25

Bayer Crop Sci.|3,866.75|470.20|12,540.81|28.03|19.75|0.00|13,670.51|227.80|1,675.90|5.86|45.43|3.75
The Ramco Cement|564.50|883.27|15,561.20|16.24|17.43|0.71|13,439.43|4,875.52|112.59|4.35|24.07|5.68
L&T Fin.Holdings|75.95|5,376.81|54,551.64|36.61|40.77|6.60|13,320.04|1,227.88|11,559.12|1.84|15.55|9.86
Tata Comm|464.75|764.24|26,678.16|4.01|3.96|-34.39|13,245.38|14,703.82|-564.48|NaN|NaN|2.86
Rajesh Exports|446.35|818.04|5,898.93|12.44|12.59|1.35|13,180.72|70.40|6,396.21|3.97|27.66|13.87
JSW Energy|80.05|3,554.48|28,325.02|18.30|14.54|1.82|13,128.60|13,190.68|386.48|1.54|10.25|12.55
Indian Hotels|131.85|348.10|NaN|-3.34|3.71|2.33|13,043.58|6,214.79|-27.81|6.16|NaN|NaN
Rel. Comm.|51.60|3,373.00|51,263.14|3.44|4.21|1.05|12,843.14|68,553.00|5,540.00|0.33|18.86|6.58
Neyveli Lignite|74.20|2,114.24|12,347.48|12.61|13.69|0.21|12,448.61|6,470.62|5,159.72|0.77|10.25|17.12
Natl. Aluminium|48.20|1,103.97|7,794.32|15.23|4.97|0.00|12,422.30|6,791.94|3,689.87|0.92|17.82|14.16
M R P L|70.55|1,751.35|14,228.01|-27.93|8.11|1.70|12,364.59|5,991.42|-3,084.11|1.92|9.51|12.31

Shri.City Union.|1,799.25|2,196.70|25,861.00|18.89|17.35|3.19|11,862.67|82.26|12,454.63|2.63|22.39|8.49
SJVN|28.45|1,914.07|11,536.80|15.40|10.34|0.26|11,768.70|5,668.66|4,266.61|1.01|8.36|16.59
Tata Chemicals|452.75|1,800.95|NaN|9.69|11.15|1.51|11,534.26|11,006.98|3,697.82|1.82|14.78|NaN
Supreme Inds.|890.95|581.61|11,707.31|25.13|38.76|0.34|11,319.52|1,032.50|288.72|9.27|31.56|4.97
MphasiS|535.90|963.11|11,436.17|21.74|19.82|0.10|11,264.40|2,404.27|1,536.38|1.83|15.55|8.42
Welspun India|112.00|1,274.02|13,810.08|27.33|26.57|1.34|11,252.92|2,627.00|1,111.91|5.66|16.01|9.23
Muthoot Finance|275.20|3,574.45|28,683.11|12.52|13.92|3.82|10,981.88|312.58|25,327.09|1.86|13.57|12.46
Dalmia Bhar.|1,227.65|1,288.01|19,544.89|12.06|11.16|2.24|10,900.71|7,787.61|-263.04|2.75|57.13|6.59
Alembic Pharma|577.85|939.27|10,574.15|72.86|58.50|0.08|10,892.47|546.87|821.52|6.81|15.14|8.88
GRUH Finance|298.90|1,169.11|21,081.88|228.55|227.46|12.26|10,870.89|13.73|499.42|13.01|44.63|5.55
Thermax|909.55|437.51|10,646.80|43.86|40.55|0.01|10,837.29|640.42|218.55|4.21|35.47|4.11

Whirlpool India|850.65|365.98|10,256.60|32.52|33.59|0.00|10,792.20|371.27|545.68|9.38|43.53|3.57
Voltas|325.50|567.41|10,649.46|17.00|38.05|0.06|10,770.80|288.41|786.54|4.33|30.27|5.33
Aditya Bir. Fas.|139.30|46.41|12,013.41|-6.04|2.24|3.80|10,709.98|1,633.17|52.14|46.39|NaN|0.39
Bank of India|114.65|22,281.07|4,75,655.07|18.64|15.82|18.19|10,708.71|5,772.91|1,09,886.70|0.35|NaN|4.68
Mindtree|637.25|773.80|10,544.92|56.27|55.93|0.02|10,695.02|462.60|776.00|4.43|17.68|7.34
WABCO India|5,619.10|271.32|10,440.77|29.90|30.29|0.00|10,653.81|323.74|445.55|10.11|52.07|2.60
Federal Bank|61.55|5,960.10|78,935.99|114.28|100.45|9.46|10,582.76|402.33|4,710.55|1.29|22.25|7.55
Dish TV|98.65|464.11|11,882.83|37.94|138.71|-4.76|10,514.76|1,356.44|-1,175.29|97.24|25.04|3.91
Vakrangee|197.60|660.32|10,820.30|39.73|40.18|0.41|10,456.92|434.98|1,341.50|7.62|26.71|6.10
Wockhardt|939.05|458.22|12,122.91|7.44|6.95|0.67|10,377.34|2,122.74|2,856.65|2.90|31.87|3.78
Sanofi India|4,480.85|513.40|9,751.66|26.77|28.06|0.00|10,319.40|648.36|506.45|6.04|35.86|5.26

Reliance Capital|406.35|4,553.00|35,179.73|67.13|70.39|1.96|10,265.73|482.00|5,857.00|0.71|9.32|12.94
Oberoi Realty|301.40|654.66|10,968.38|13.19|14.24|0.19|10,228.40|931.17|3,062.30|2.02|24.02|5.97
Strides Shasun|1,142.60|270.29|10,390.30|7.63|15.12|0.27|10,210.96|380.84|401.08|6.22|61.70|2.60
Info Edg.(India)|839.90|208.23|10,111.91|21.64|9.29|0.00|10,155.75|84.00|892.23|5.76|68.93|2.06
P I Inds.|739.60|413.28|10,244.06|40.18|45.05|0.13|10,141.93|523.64|311.48|8.48|32.37|4.03
Natco Pharma|581.80|229.54|10,432.86|16.92|22.28|0.37|10,133.46|644.74|272.04|10.12|65.30|2.20
Abbott India|4,684.80|402.54|9,815.01|34.85|32.33|0.00|9,955.20|96.04|980.71|8.99|38.34|4.10
Kajaria Ceramics|1,242.00|360.75|9,946.58|42.23|55.16|0.11|9,870.05|504.08|107.83|10.31|41.84|3.63
Bharat Financial|764.55|878.47|13,221.39|17.72|12.24|3.71|9,752.03|8.95|5,924.11|7.05|32.19|6.64
Adani Power|28.90|6,418.54|NaN|8.17|13.19|7.82|9,635.08|46,364.53|2,046.42|1.55|19.72|NaN
Union Bank (I)|139.95|25,651.08|3,54,021.88|61.28|55.06|18.40|9,620.74|2,677.82|36,066.35|0.47|6.85|7.25

Tube Investments|511.30|2,004.80|10,227.14|35.67|117.91|0.43|9,579.30|1,520.78|-301.28|2.88|20.11|19.60
AIA Engg.|997.80|603.50|9,321.09|38.51|37.01|0.05|9,409.25|388.65|919.53|3.75|22.18|6.47
Alstom T&D India|360.65|183.49|9,676.90|9.97|9.97|0.38|9,234.44|686.72|1,153.51|6.93|119.14|1.90
Suzlon Energy|18.15|1,694.99|24,380.29|-55.31|2.97|-1.95|9,112.21|13,514.52|3,652.29|NaN|NaN|6.95
Crompton Gr. Con|143.80|NaN|NaN|NaN|NaN|NaN|9,012.61|NaN|NaN|NaN|NaN|NaN
Adani Enterp.|80.90|2,675.04|NaN|9.59|1.53|3.25|8,897.38|70,578.70|16,478.66|0.33|8.07|NaN
Pfizer|1,943.45|402.74|8,822.29|17.83|17.06|0.00|8,890.84|944.34|941.66|4.20|40.92|4.57
Guj Pipavav Port|180.55|364.24|8,713.02|24.92|18.52|0.00|8,728.51|1,357.80|160.64|4.31|41.53|4.18
GMR Infra.|14.40|2,282.96|54,731.95|1.16|5.09|10.07|8,691.76|33,639.26|316.92|3.37|NaN|4.17
SPARC|349.00|-67.83|8,668.81|-89.44|-109.85|1.86|8,617.06|66.79|-5.22|288.19|NaN|-0.78
Symphony|2,450.70|198.50|8,567.45|969.85|684.18|0.00|8,572.18|31.30|-34.64|20.75|59.01|2.32

Honeywell Auto|9,682.15|222.02|8,387.01|24.78|30.69|0.00|8,559.02|65.07|548.80|8.39|61.79|2.65
Indraprastha Gas|604.50|643.94|8,336.43|37.60|36.18|0.07|8,463.00|1,895.25|-258.54|3.37|20.33|7.72
I D F C|52.65|4,869.68|NaN|53.80|40.24|5.59|8,402.61|1,369.88|10,306.85|0.83|4.86|NaN
Tata Global|132.60|614.21|NaN|6.95|7.27|0.24|8,368.78|5,181.01|2,146.89|1.45|26.09|NaN
Arvind Ltd|319.60|897.66|11,755.50|14.81|13.90|1.34|8,253.45|3,208.23|2,303.93|3.12|22.94|7.64
Torrent Power|170.70|2,317.48|15,621.73|15.23|13.13|1.13|8,204.13|9,100.50|781.26|1.10|8.87|14.83
Syngene Intl.|409.30|266.63|8,689.70|27.76|20.40|0.85|8,186.00|503.30|697.00|7.78|37.00|3.07
Dr Lal Pathlabs|982.90|201.22|8,114.11|48.14|40.65|0.00|8,132.81|150.08|280.68|16.05|64.44|2.48
Apollo Tyres|156.85|1,662.17|NaN|24.95|27.14|0.22|7,984.05|4,593.31|1,304.79|1.30|7.52|NaN
Godrej Propert.|368.55|429.57|NaN|5.11|6.33|1.89|7,974.03|63.74|5,178.86|3.84|34.50|NaN
Fortis Health.|169.95|102.65|9,473.55|-2.37|-3.28|0.44|7,872.08|4,146.78|293.21|1.96|NaN|1.08

CESC|584.65|2,389.45|21,457.55|9.21|9.08|2.70|7,749.95|20,868.69|2,509.26|1.40|22.75|11.14
SRF|1,337.35|699.06|10,014.87|11.13|15.07|1.07|7,679.06|3,550.76|536.88|2.85|18.16|6.98
IRB Infra.Devl.|216.90|1,931.22|19,754.47|6.94|5.42|2.88|7,622.95|8,554.40|1,592.14|1.53|11.99|9.78
Gujarat Gas|551.10|498.31|NaN|20.21|10.61|1.62|7,587.44|4,473.44|-210.42|3.54|44.77|NaN
Century Textiles|678.60|487.24|13,332.10|6.27|6.53|2.63|7,579.67|5,865.25|995.03|3.43|NaN|3.65
Indian Bank|157.45|12,752.92|1,77,358.06|70.15|68.97|13.49|7,562.19|2,963.49|12,405.47|0.56|10.63|7.19
Jubilant Food.|1,146.75|166.97|7,519.35|45.23|39.35|0.00|7,549.72|528.75|-307.50|9.61|65.90|2.22
Akzo Nobel|1,611.90|301.19|7,480.43|84.02|215.95|0.00|7,521.13|516.40|-404.40|10.34|38.54|4.03
SKF India|1,388.70|318.50|NaN|23.26|17.98|0.00|7,322.62|346.95|1,069.68|4.67|35.56|NaN
Guj.St.Petronet|129.75|745.12|8,376.43|22.48|22.06|0.32|7,309.79|3,159.34|21.11|1.80|16.45|8.90
Bata India|564.10|300.16|7,160.19|18.27|15.35|0.00|7,250.24|306.69|781.46|6.27|45.25|4.19
City Union Bank|120.00|2,565.87|28,885.31|81.45|82.65|8.99|7,178.30|182.95|2,398.11|2.29|16.14|8.88

